original,convert
jdi,jadi
lbh,lebih
akuratterpercaya,akurat terpercaya
hari,hari
setuju,setuju
dipersulit,dipersulit
giliran,giliran
g,tidak
paksa,paksa
mantaaaaabbz,mantap
dibukalama,dibuka lama
salam,salam
asli,asli
bergunatoek,berguna
melakukan,melakukan
sdm,sdm
aamiin,amin
pelaporan,pelaporan
program,program
pemerintahh,pemerintah
macam,macam
kontolll,kontol
mantapks,mantap
ri,ri
bocor,bocor
sengaja,sengaja
perlukan,perlukan
eh,eh
buset,astaga
makenya,pakainya
anjjjjj,anjing
ttng,tentang
bst,bst
via,via
atm,atm
cair,cair
ug,juga
ssh,susah
survesklm,survesklm
kelurahan,kelurahan
tg,tanggal
l,l
sampai,sampai
alamatnya,alamatnya
bang,bang
gubernurnya,gubernurnya
nyaman,nyaman
disini,disini
muluuu,selalu
sii,sih
pelanggaran,pelanggaran
ppkm,ppkm
kite,kita
anjing,anjing
babi,babi
saran,saran
kritik,kritik
memajukan,memajukan
kga,tidak
pffffff,pff
developernya,pengembangnya
bercanda,bercanda
wokaowwk,wkwkwk
thxyouu,terimakasih
jakii,jaki
nyaaaaa,nya
dmna,dimana
yah,ya
bat,banget
nunggunyaaaaaaaa,menunggunya
i,aku
want,ingin
the,si
be,menjadi
best,terbaik
city,kota
mpe,sampai
selfie,selfie
sm,sama
booking,pembukuan
venue,gedung
olahraga,olahraga
why,kenapa
for,untuk
presiden,presiden
ngeheprosedur,prosedur
abu,abu
pre,pre
nga,nga
job,pekerjaan
user,pengguna
friendly,ramah
easy,mudah
use,guna
keep,tetap
on,pada
work,kerja
and,dan
interface,antarmuka
ngrepotin,merepotkan
quick,cepat
response,respon
hebat,hebat
man,man
tab,tab
this,ini
super,sangat
apps,aplikasi
really,sangat
deserve,layak
get,dapat
million,jutaan
users,pengguna
mengira,mengira
rafidtest,rapidtest
by,oleh
niankeep,niankeep
it,it
alwaysgbu,always gbu
bgttkeren,banget keren
dech,deh
next,berikutnya
will,akan
give,beri
star,bintang
berat,berat
loadingnya,loadingnya
maps,maps
aksesnya,aksesnya
mapnya,mapnya
datanya,datanya
dunia,dunia
pun,pun
seharusnya,seharusnya
otomatis,otomatis
datenya,datenya
mndapatkan,mendapatkan
terkininya,terkininya
berhenti,berhenti
tiba,tiba
zoom,zoom
map,map
peta,peta
sendiritolong,sendiri tolong
forceclose,paksa tutup
informatif,informatif
hatur,terima
nuhun,kasih
pergerakan,pergerakan
jabarku,jabarku
penerima,penerima
bansosdi,bansos di
android,android
amat,amat
mudahan,mudahan
kabupaten,kabupaten
tqs,terimakasih
diakses,diakses
membagongkang,membingungkan
pasword,kata ssandi
valid,valid
lumayan,lumayan
periksa,periksa
lengkap,lengkap
jawa,jawa
barat,barat
rapid,rapid
pegangan,pegangan
pikobar,pikobar
terhenti,terhenti
dibisa,dibisa
aduan,aduan
memakan,memakan
memori,memori
saling,saling
antara,antara
pusat,pusat
haturnuhun,terimakasih
bin,bin
kuya,kuya
aplikasinyadata,aplikasinya data
pisan,sangat
detail,detail
sinyal,sinyal
room,room
memadai,memadai
kabar,kabar
terpercaya,terpercaya
ketidakpastian,ketidakpastian
mantapterus,mantap terus
mencerahkan,mencerahkan
sgla,segala
aktivtas,aktivitas
mesti,harus
provinsi,provinsi
seperti,seperti
katanya,katanya
balnk,kosong
ajajadi,saja jadi
pakaplikasi,pak aplikasi
virus,virus
berlalu,berlalu
aduannya,aduannya
sebagian,sebagian
digunakanbanyak,digunakan banyak
mengecewakan,mengecewakan
secara,secara
aktual,aktual
pikobarnya,pikobarnya
berhentiminta,berhentiminta
dipikobar,di pikobar
ditindaklanjuti,ditindaklanjuti
pisaan,pisan
komunikatif,komunikatif
end,end
kecewa,kecewa
pemakinnya,pemakinnya
transfaran,transparan
ampas,ampas
awal,awal
melihat,melihat
penting,penting
mandiri,mandiri
penampung,penampung
eksekusinya,eksekusinya
ngebuka,ngebuka
appnnya,aplikasinya
sub,sub
responpercuma,respon percuma
apalagi,apalagi
datany,datanya
pemprop,pemprov
jabar,jabar
bermanpaat,bermanfaat
mlah,malah
nyampe,nyampe
dowland,download
paket,paket
full,full
membantuaplikasi,membantu aplikasi
sputar,seputar
tanggapan,tanggapan
penyebaran,penyebaran
diload,dimuat
keluarga,keluarga
qo,qo
dimasa,dimasa
pandemi,pandemi
informasinya,informasinya
bantuan,bantuan
pernah,pernah
kebagian,kebagian
knpah,kenapa
pajanganudh,pajangan sudah
balesan,balasan
tombol,tombol
memang,memang
sedikit,sedikit
lemottapi,lemot tapi
terlihat,terlihat
seumur,seumur
tingkat,tingkat
selama,selama
t,t
terimaksih,terimakasih
komprehensif,komprehensif
contentnya,kontennya
sarana,sarana
publik,publik
smoga,semoga
cuman,cuma
memgikuti,memgikuti
gunanya,gunanya
forum,forum
bertanya,bertanya
solusinya,solusinya
gada,gak ada
prcuma,percuma
iphone,iphone
psbb,psbb
dimulai,dimulai
lusatpi,lusa tapi
pesebaran,pesebaran
sendirinya,sendirinya
gag,gak
sma,sama
percma,percuma
bidang,bidang
terutama,terutama
tindakan,tindakan
bangeet,banget
memutus,memutus
rantai,rantai
munculnya,munculnya
